date, pm25, pm10, o3, no2, so2, co
2023/11/20, 22, 12, 15, 14, , 
2023/11/21, 20, 19, 12, 14, , 
2023/11/22, 46, 15, 24, 15, , 
2023/11/23, 28, 18, 23, 12, , 
2023/11/24, 26, 18, 20, 14, , 
2023/11/25, 41, 17, 22, 13, , 
2023/11/26, 44, 10, 22, 10, , 
2023/11/27, 26, 17, 19, 16, , 
2023/11/28, 39, 20, 17, 19, , 
2023/11/29, 48, 26, 8, 20, , 
2023/11/30, 62, 25, 9, 13, , 
2023/12/1, 74, 27, 11, 15, , 
2023/12/2, 79, 22, 11, 15, , 
2023/12/3, 69, 10, 19, 14, , 
2023/12/4, 30, 10, 18, 10, , 
2023/12/5, 23, 26, 10, 20, , 
2023/12/6, 50, 17, 9, 15, , 
2023/12/7, 45, 19, 19, 15, , 
2023/12/8, 39, 17, 30, 8, , 
2023/12/9, 33, 17, 26, 7, , 
2023/12/10, 30, 20, 23, 12, , 
2023/12/11, 37, 13, 26, 13, , 
2023/12/12, 24, 16, 24, 11, , 
2023/12/13, 26, 13, 13, 11, , 
2023/12/14, 25, 23, 13, 18, , 
2023/12/15, 48, 32, 16, 24, , 
2023/12/16, 70, 29, 3, 18, , 
2023/12/17, 77, 16, 11, 13, , 
2023/12/18, 46, 14, 21, 11, , 
2023/12/19, 33, 13, 25, 11, , 
2023/12/20, 18, 11, 28, 6, , 
2023/12/21, 10, 14, 27, 7, , 
2023/12/22, 17, 8, 29, 5, , 
2023/12/23, 8, 12, 28, 5, , 
2023/12/24, 17, 11, 29, 4, , 
2023/12/25, 15, 12, 30, 7, , 
2023/12/26, 17, 13, 20, 9, , 
2023/12/27, 23, 12, 24, 6, , 
2023/12/28, 17, 13, 26, 6, , 
2023/12/29, 21, 11, 23, 8, , 
2023/12/30, 19, 11, 31, 4, , 
2023/12/31, 17, 19, 23, 6, , 
2023/7/1, 92, 28, 34, 2, , 
2023/7/2, 155, 15, 35, 3, , 
2023/7/4, 40, , , , , 
2023/7/20, 38, 13, 39, 12, , 
2023/7/21, 39, 17, 35, , , 
2023/7/22, 39, 8, 26, , , 
2023/7/23, 34, 10, 25, 9, , 
2023/7/24, 26, 13, 26, 10, , 
2023/7/25, 43, 10, 30, 7, , 
2023/7/26, 38, 5, 22, 5, , 
2023/7/27, 23, 6, 16, 7, , 
2023/7/28, 15, 8, 23, 8, , 
2023/7/29, 18, 10, 30, 2, , 
2023/7/30, 20, 11, 24, 4, , 
2023/7/31, 21, 8, 27, 3, , 
2023/8/1, 20, 8, 31, 2, , 
2023/8/2, 13, 10, 24, 6, , 
2023/8/3, 19, 14, 32, 9, , 
2023/8/4, 38, 10, 26, 4, , 
2023/8/5, 17, 9, 30, 3, , 
2023/8/6, 24, 11, 29, 6, , 
2023/8/7, 28, 11, 30, 5, , 
2023/8/8, 26, 10, 27, 8, , 
2023/8/9, 23, 17, 36, 16, , 
2023/8/10, 43, 16, 33, 13, , 
2023/8/11, 42, 8, 32, 4, , 
2023/8/12, 24, 11, 32, 4, , 
2023/8/13, 28, 15, 11, 9, , 
2023/8/14, 41, 10, , 5, , 
2023/8/15, 26, 15, 31, 8, , 
2023/8/16, 30, 21, 38, 10, , 
2023/8/17, 56, 25, 36, 12, , 
2023/8/18, 61, 15, 28, 6, , 
2023/8/19, 37, 11, 38, 5, , 
2023/8/20, 28, 12, 37, 8, , 
2023/8/21, 28, 18, 46, 12, , 
2023/8/22, 17, 19, 46, 9, , 
2023/8/23, 3, 21, 32, 11, , 
2023/8/24, 24, 18, 30, 9, , 
2023/8/25, 46, 8, 27, 4, , 
2023/8/26, 16, 7, 28, 4, , 
2023/8/27, 16, 10, 28, 8, , 
2023/8/28, 27, 11, 31, 9, , 
2023/8/29, 33, 10, 32, 7, , 
2023/8/30, 42, , 25, 8, , 
2023/9/1, 108, 16, 28, 14, , 
2023/9/2, 126, 11, 38, 7, , 
2023/9/3, 28, 91, 38, 10, , 
2023/9/4, 31, 26, 46, 19, , 
2023/9/5, 37, 36, 45, 27, , 
2023/9/6, 45, 31, 73, 25, , 
2023/9/7, 52, 35, 63, 31, , 
2023/9/8, 61, 27, 61, 18, , 
2023/9/9, 50, 22, 57, 9, , 
2023/9/10, 46, 23, 39, 13, , 
2023/9/11, 41, 14, 20, 12, , 
2023/9/12, 29, 17, 18, 15, , 
2023/9/13, 36, 25, 29, 21, , 
2023/9/14, 45, 17, 36, 17, , 
2023/9/15, 31, 17, 35, 19, , 
2023/9/16, 38, 15, 28, 12, , 
2023/9/17, 29, 12, 31, 5, , 
2023/9/18, 14, 13, 26, 5, , 
2023/9/19, 23, 13, 31, 6, , 
2023/9/20, 13, 10, 24, 7, , 
2023/9/21, 19, 8, 27, 6, , 
2023/9/22, 15, 10, 26, 9, , 
2023/9/23, 24, 14, 30, 14, , 
2023/9/24, 37, 20, 24, 19, , 
2023/9/25, 36, 22, 31, 23, , 
2023/9/26, 40, 25, 31, 23, , 
2023/9/27, 41, 20, 30, 9, , 
2023/9/28, 31, 15, 29, 9, , 
2023/9/29, 19, 22, 28, 21, , 
2023/9/30, 50, 19, 33, 17, , 
2023/4/1, 21, 7, 25, 8, , 
2023/4/2, 40, 13, 30, 9, , 
2023/4/3, 39, 15, 32, 14, , 
2023/4/4, 41, 29, 32, 21, , 
2023/4/5, 62, 18, 34, 15, , 
2023/4/6, 46, 12, 31, 12, , 
2023/4/7, 34, 12, 34, 12, , 
2023/4/8, 47, 15, 38, 12, , 
2023/4/9, 60, 8, 33, 9, , 
2023/4/10, 35, 9, 31, 6, , 
2023/4/11, 28, 5, 36, 6, , 
2023/4/12, 16, 10, 33, 6, , 
2023/4/13, 29, 7, 24, 12, , 
2023/4/14, 26, 8, 24, 11, , 
2023/4/15, 32, 11, 36, 10, , 
2023/4/16, 47, 20, 22, 16, , 
2023/4/17, 67, 27, 33, 12, , 
2023/4/18, 92, 14, 31, 12, , 
2023/4/19, 51, 17, 33, 13, , 
2023/4/20, 51, 20, 33, 17, , 
2023/4/21, 60, 18, 34, 16, , 
2023/4/22, 62, 8, 36, 7, , 
2023/4/23, 26, 11, 37, 7, , 
